"timestamp","date","Solar panel voltage","PAR port 2","Secondary voltage","PAR port 5","Primary voltage","Internal temperature","5TM soil moisture addr 9","5TM temperature addr 9","5TM soil moisture addr 8","5TM temperature addr 8","5TM soil moisture addr 7","5TM temperature addr 7","5TM soil moisture addr 6","5TM temperature addr 6","5TM soil moisture addr 5","5TM temperature addr 5","5TM soil moisture addr 4","5TM temperature addr 4","5TM soil moisture addr 3","5TM temperature addr 3","5TM soil moisture addr 2","5TM temperature addr 2","5TM soil moisture addr 1","5TM temperature addr 1"
1492773300,"2017-04-21 11:15:00",1.333,5.493e-1,0.533,1.123e+3,2.691,19.4,16.4,7.3,16.6,7.2,14.93,6.9,17.42,5.5,14.83,5.5,14.55,5.2,13.2,5.3,12.49,5.1,13.08,4.3
1492773900,"2017-04-21 11:25:00",,1.190e+0,,1.176e+3,,,16.39,7.1,16.61,7.1,14.96,6.8,17.42,5.4,14.82,5.5,14.55,5.2,13.17,5.5,12.52,5.3,13.08,4.4
1492774500,"2017-04-21 11:35:00",,1.190e+0,,1.191e+3,,,16.39,7.1,16.6,7.1,14.96,6.8,17.42,5.5,14.82,5.5,14.55,5.2,13.16,5.6,12.5,5.5,13.07,4.6
1492775100,"2017-04-21 11:45:00",2.043,1.465e+0,0.807,1.254e+3,2.680,23.5,16.39,7.1,16.6,7.1,14.97,6.8,17.43,5.5,14.8,5.5,14.55,5.2,13.15,5.8,12.48,5.6,13.05,4.8
1492775700,"2017-04-21 11:55:00",,1.190e+0,,1.214e+3,,,16.39,7,16.6,7.1,14.97,6.8,17.43,5.4,14.8,5.5,14.55,5.2,13.15,5.9,12.5,5.8,13.02,4.9
1492776300,"2017-04-21 12:05:00",,3.754e+0,,1.978e+3,,,16.39,7.1,16.59,7.1,14.95,6.8,17.43,5.5,14.81,5.5,14.55,5.2,13.13,6.1,12.48,6,13.01,5.1
1492776900,"2017-04-21 12:15:00",2.244,2.472e+0,1.147,1.621e+3,2.683,27.9,16.39,7.1,16.57,7,14.96,6.8,17.43,5.5,14.8,5.5,14.55,5.2,13.12,6.2,12.47,6.3,12.98,5.2
1492777500,"2017-04-21 12:25:00",,1.740e+0,,1.429e+3,,,16.39,7,16.59,7,14.97,6.8,17.41,5.6,14.8,5.5,14.54,5.2,13.1,6.4,12.46,6.4,12.95,5.4
1492778100,"2017-04-21 12:35:00",,1.465e+0,,1.314e+3,,,16.39,7.1,16.6,7,14.98,6.8,17.41,5.5,14.79,5.5,14.53,5.2,13.06,6.5,12.46,6.6,12.94,5.6
1492778700,"2017-04-21 12:45:00",2.274,1.190e+0,1.399,1.297e+3,2.775,26.6,16.39,7,16.6,7,14.99,6.7,17.4,5.6,14.79,5.6,14.53,5.2,13.05,6.7,12.46,6.8,12.93,5.7
