,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_high,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean,508_mean
,date,sigma_sentinel_vv,sigma_sentinel_vh,theta,relativeorbit,orbitdirection,satellite,LAI,SM,Height,VWC,vh/vv,S2_LAI,S2_CAB,SM_retrieved,date,LAI,Height,VWC,SM,sigma_sentinel_vv,sigma_sentinel_vh,relativeorbit,orbitdirection,satellite,theta
0,2017-03-25 17:06:21,0.0653,0.0137,42.7536,117,ASCENDING,S1B,0.8074,0.2091,14.0000,0.2651,0.2098,0.5860,38.5085,0.2264,2017-03-25 17:06:21,0.7247,12.9028,0.3402,0.2178,0.0653,0.0137,117,ASCENDING,S1B,42.7536
1,2017-03-26 16:58:53,0.1067,0.0145,33.5877,44,ASCENDING,S1A,0.9506,0.2060,14.0000,0.2236,0.1361,0.6070,38.6371,0.1506,2017-03-26 16:58:53,0.7784,13.2222,0.3617,0.1783,0.1067,0.0145,44,ASCENDING,S1A,33.5877
2,2017-03-29 05:25:29,0.0617,0.0127,35.8390,168,DESCENDING,S1B,1.2247,0.2205,15.2083,0.1981,0.2052,0.6775,39.1069,0.1583,2017-03-29 05:25:29,0.9458,15.1771,0.4044,0.1894,0.0617,0.0127,168,DESCENDING,S1B,35.8390
3,2017-03-30 05:18:04,0.0460,0.0100,44.5489,95,DESCENDING,S1A,1.2867,0.2150,16.2083,0.2246,0.2178,0.7059,39.3193,0.1862,2017-03-30 05:18:04,1.0225,16.4271,0.4150,0.2006,0.0460,0.0100,95,DESCENDING,S1A,44.5489
4,2017-03-31 17:07:04,0.0545,0.0151,42.7520,117,ASCENDING,S1A,1.3798,0.2148,17.7083,0.2644,0.2771,0.7344,39.5318,0.2738,2017-03-31 17:07:04,1.1375,18.3021,0.4310,0.2443,0.0545,0.0151,117,ASCENDING,S1A,42.7520
5,2017-04-04 05:26:13,0.0583,0.0169,35.8440,168,DESCENDING,S1A,1.5968,0.2327,21.2083,0.3572,0.2895,0.8481,40.3817,0.2403,2017-04-04 05:26:13,1.4059,22.6771,0.4684,0.2365,0.0583,0.0169,168,DESCENDING,S1A,35.8440
6,2017-04-05 05:17:15,0.0522,0.0134,44.5674,95,DESCENDING,S1B,1.6631,0.2377,22.2083,0.4016,0.2564,0.8765,40.5941,0.2633,2017-04-05 05:17:15,1.5002,23.7223,0.4888,0.2505,0.0522,0.0134,95,DESCENDING,S1B,44.5674
7,2017-04-06 17:06:22,0.0396,0.0117,42.7527,117,ASCENDING,S1B,1.7867,0.2433,23.7083,0.5701,0.2945,0.9143,40.9235,0.2184,2017-04-06 17:06:22,1.7418,24.1222,0.5751,0.2308,0.0396,0.0117,117,ASCENDING,S1B,42.7527
8,2017-04-07 16:58:53,0.0568,0.0137,33.6005,44,ASCENDING,S1A,1.8656,0.2428,24.6667,0.6778,0.2410,0.9521,41.2529,0.1719,2017-04-07 16:58:53,1.8961,24.3778,0.6302,0.2074,0.0568,0.0137,44,ASCENDING,S1A,33.6005
9,2017-04-10 05:25:30,0.0442,0.0113,35.8402,168,DESCENDING,S1B,2.0665,0.2601,27.0189,0.9534,0.2565,1.0654,42.2411,0.1523,2017-04-10 05:25:30,2.2867,25.0126,0.7751,0.2062,0.0442,0.0113,168,DESCENDING,S1B,35.8402
10,2017-04-12 17:07:05,0.0365,0.0108,42.7536,117,ASCENDING,S1A,2.1693,0.2543,27.2462,1.1140,0.2951,1.1410,42.8999,0.2069,2017-04-12 17:07:05,2.4634,25.1641,0.9024,0.2306,0.0365,0.0108,117,ASCENDING,S1A,42.7536
11,2017-04-16 05:26:14,0.0348,0.0118,35.8414,168,DESCENDING,S1A,2.3132,0.2645,27.5644,1.3388,0.3386,1.3260,44.6729,0.1744,2017-04-16 05:26:14,2.7108,25.3763,1.0807,0.2195,0.0348,0.0118,168,DESCENDING,S1A,35.8414
12,2017-04-17 05:17:16,0.0305,0.0101,44.5644,95,DESCENDING,S1B,2.3543,0.2899,27.6553,1.4030,0.3307,1.3751,45.1541,0.2221,2017-04-17 05:17:16,2.7814,25.4369,1.1316,0.2560,0.0305,0.0101,95,DESCENDING,S1B,44.5644
13,2017-04-18 17:06:22,0.0371,0.0121,42.7613,117,ASCENDING,S1B,2.4160,0.3165,27.7917,1.4994,0.3266,1.4242,45.6353,0.2481,2017-04-18 17:06:22,2.8874,25.5278,1.2080,0.2823,0.0371,0.0121,117,ASCENDING,S1B,42.7613
14,2017-04-19 16:58:54,0.0466,0.0114,33.5966,44,ASCENDING,S1A,2.4554,0.3087,27.8788,1.5610,0.2455,1.4733,46.1165,0.1477,2017-04-19 16:58:54,2.9552,25.5859,1.2568,0.2282,0.0466,0.0114,44,ASCENDING,S1A,33.5966
